mx,my,mz
0.68599999,0.45666668,0.62333333
0.68766665,0.46766666,0.63599998
0.69266665,0.48899999,0.64766669
0.69199997,0.50233334,0.66166669
0.69266665,0.52033335,0.66933334
0.69599998,0.53200001,0.68000001
0.70766670,0.55066669,0.68866664
0.71600002,0.56933331,0.69933331
0.72233331,0.56933331,0.69566667
0.72333336,0.58033335,0.70366669
0.72000003,0.57933331,0.69666666
0.71533334,0.58700001,0.70099998
0.71200001,0.59200001,0.69866669
0.70766670,0.59666669,0.69566667
0.70533335,0.59733331,0.69233334
0.69766665,0.59899998,0.69400001
0.69866669,0.60333335,0.69566667
0.70266664,0.60399997,0.69566667
0.70033336,0.60833335,0.69333333
0.69700003,0.60833335,0.69233334
0.69933331,0.60833335,0.69166666
0.70200002,0.61400002,0.69666666
0.69433331,0.61400002,0.69166666
0.69700003,0.61400002,0.68599999
0.68599999,0.61233336,0.68699998
0.67733335,0.61566669,0.68266666
0.67666668,0.61666667,0.67566669
0.67066669,0.61900002,0.67400002
0.66666669,0.62066668,0.67033333
0.65899998,0.62866664,0.66333336
0.65333331,0.63200003,0.66333336
0.64600003,0.63533336,0.65733331
0.64266664,0.63099998,0.65566665
0.63099998,0.62766665,0.64700001
0.61699998,0.62366664,0.63366669
0.61066669,0.61566669,0.62066668
0.60399997,0.61733335,0.61433333
0.58666664,0.62066668,0.60266668
0.58499998,0.61666667,0.59600002
0.57266665,0.61666667,0.58433336
0.56933331,0.61666667,0.57499999
0.56033331,0.61000001,0.55900002
0.55100000,0.61000001,0.54699999
0.54433334,0.61233336,0.53666669
0.53833336,0.60733336,0.51899999
0.52499998,0.60666668,0.49433333
0.51733333,0.60066664,0.47333333
0.51233333,0.59666669,0.45566666
0.50900000,0.59833336,0.43399999
0.49866667,0.59566665,0.39533332
0.49766666,0.59666669,0.37533334
0.49433333,0.59666669,0.35066667
0.49433333,0.59899998,0.32900000
0.49533334,0.60233331,0.29566666
0.50199997,0.61233336,0.27266666
0.49766666,0.62166667,0.25999999
0.50900000,0.62599999,0.23266667
0.50999999,0.62699997,0.21866667
0.51499999,0.63099998,0.20833333
0.51999998,0.63033330,0.19866666
0.52066666,0.63033330,0.18866667
0.52833331,0.63599998,0.18266666
0.53166670,0.63533336,0.16599999
0.53333336,0.63599998,0.15833333
0.54200000,0.64099997,0.14066666
0.55266666,0.64033335,0.12933333
0.55699998,0.64533335,0.12333333
0.56099999,0.64433336,0.11933333
0.56766665,0.64099997,0.11433333
0.56766665,0.63599998,0.11200000
0.56699997,0.62599999,0.10833333
0.57266665,0.62066668,0.10666667
0.57733333,0.60666668,0.10566667
0.57366669,0.59833336,0.10833333
0.58333331,0.59033334,0.10266667
0.58233333,0.58099997,0.09866667
0.59066665,0.57700002,0.09866667
0.59500003,0.57266665,0.09866667
0.59733331,0.56500000,0.09066667
0.60066664,0.55566669,0.09700000
0.60566664,0.55400002,0.09533333
0.60666668,0.54566669,0.09400000
0.60833335,0.54166669,0.09333333
0.61699998,0.53433335,0.08733334
0.62699997,0.53200001,0.08733334
0.63200003,0.53533334,0.07766667
0.64033335,0.54233330,0.07233334
0.64999998,0.55566669,0.05333333
0.66566664,0.56500000,0.03833333
0.67733335,0.58200002,0.02866667
0.68933332,0.59666669,0.01733333
0.71533334,0.61500001,0.00233333
0.72666669,0.62599999,-0.00166667
0.74166667,0.63599998,-0.00933333
0.75866669,0.64099997,-0.01100000
0.77600002,0.65499997,-0.01833333
0.80000001,0.66233331,-0.01600000
0.81500000,0.67000002,-0.02233333
0.82766664,0.68266666,-0.02166667
0.85200000,0.69766665,-0.02066667
0.86500001,0.70999998,-0.01600000
0.87666667,0.72399998,-0.01266667
0.88999999,0.73699999,-0.01033333
0.91266668,0.75433332,0.00000000
